date,time,temperature,humidity
26/01/2016,00:00:03,28.9,39.7
26/01/2016,00:01:03,29.0,39.6
26/01/2016,00:02:03,28.8,40.0
26/01/2016,00:03:03,28.9,39.9
26/01/2016,00:04:03,29.0,39.4
26/01/2016,00:05:03,29.1,39.6
26/01/2016,00:06:04,29.1,39.2
26/01/2016,00:07:03,28.8,39.7
26/01/2016,00:08:03,28.9,39.6
26/01/2016,00:09:04,28.9,39.7
26/01/2016,00:10:03,29.0,39.5
26/01/2016,00:11:03,28.8,40.1
26/01/2016,00:12:04,28.9,39.8
26/01/2016,00:13:03,28.8,39.8
26/01/2016,00:14:03,28.8,39.9
26/01/2016,00:15:04,29.0,39.6
26/01/2016,00:16:03,28.8,39.9
26/01/2016,00:17:03,28.7,39.9
26/01/2016,00:18:03,28.8,40.0
26/01/2016,00:19:03,28.9,39.8
26/01/2016,00:20:03,28.8,39.8
26/01/2016,00:21:03,28.9,39.9
26/01/2016,00:22:03,28.9,40.0
26/01/2016,00:23:04,28.8,39.9
26/01/2016,00:24:03,28.8,39.9
26/01/2016,00:25:03,28.9,39.6
26/01/2016,00:26:04,29.0,39.9
26/01/2016,00:27:03,29.0,39.9
26/01/2016,00:28:03,29.0,39.7
26/01/2016,00:29:04,29.0,39.7
26/01/2016,00:30:03,29.0,39.6
26/01/2016,00:31:03,29.0,39.5
26/01/2016,00:32:04,29.1,39.8
26/01/2016,00:33:03,29.1,39.6
26/01/2016,00:34:03,29.0,39.6
26/01/2016,00:35:04,29.2,39.8
26/01/2016,00:36:03,29.1,39.4
26/01/2016,00:37:03,29.1,39.6
26/01/2016,00:38:03,29.0,39.7
26/01/2016,00:39:03,28.9,39.7
26/01/2016,00:40:03,29.0,39.7
26/01/2016,00:41:03,29.4,39.1
26/01/2016,00:42:03,29.4,39.6
26/01/2016,00:43:03,29.5,39.0
26/01/2016,00:44:03,29.6,38.9
26/01/2016,00:45:03,29.6,39.2
26/01/2016,00:46:04,29.6,38.6
26/01/2016,00:47:03,29.6,39.1
26/01/2016,00:48:03,29.6,38.6
26/01/2016,00:49:04,29.5,38.9
26/01/2016,00:50:03,29.5,38.7
26/01/2016,00:51:03,29.7,38.6
26/01/2016,00:52:03,29.4,39.0
26/01/2016,00:53:03,29.6,38.3
26/01/2016,00:54:03,29.6,38.5
26/01/2016,00:55:03,29.6,38.7
26/01/2016,00:56:03,29.5,38.6
26/01/2016,00:57:03,29.5,38.4
26/01/2016,00:58:03,29.5,38.6
26/01/2016,00:59:03,29.5,38.8
26/01/2016,01:00:04,29.6,38.7
26/01/2016,01:01:03,29.6,38.8
26/01/2016,01:02:03,29.6,38.5
26/01/2016,01:03:04,29.6,38.5
26/01/2016,01:04:03,29.4,38.9
26/01/2016,01:05:03,29.4,38.9
26/01/2016,01:06:04,29.5,38.6
26/01/2016,01:07:03,29.5,38.7
26/01/2016,01:08:03,29.5,38.4
26/01/2016,01:09:03,29.7,38.4
26/01/2016,01:10:03,29.5,38.6
26/01/2016,01:11:03,29.5,38.6
26/01/2016,01:12:03,29.5,38.4
26/01/2016,01:13:03,29.6,38.3
26/01/2016,01:14:04,29.5,38.9
26/01/2016,01:15:03,29.5,38.9
26/01/2016,01:16:03,29.5,38.5
26/01/2016,01:17:04,29.5,38.5
26/01/2016,01:18:03,29.7,38.9
26/01/2016,01:19:03,29.5,38.6
26/01/2016,01:20:04,29.5,38.7
26/01/2016,01:21:03,29.6,38.8
26/01/2016,01:22:03,29.8,38.8
26/01/2016,01:23:04,29.5,39.1
26/01/2016,01:24:03,29.6,38.8
26/01/2016,01:25:03,29.6,38.8
26/01/2016,01:26:03,29.6,38.8
26/01/2016,01:27:03,29.7,38.4
26/01/2016,01:28:03,29.7,38.5
26/01/2016,01:29:03,29.6,38.7
26/01/2016,01:30:03,29.8,38.8
26/01/2016,01:31:03,29.7,38.9
26/01/2016,01:32:03,29.8,38.6
26/01/2016,01:33:03,29.5,38.7
26/01/2016,01:34:04,29.6,39.0
26/01/2016,01:35:03,29.7,39.4
26/01/2016,01:36:03,29.6,39.1
26/01/2016,01:37:04,29.4,38.6
26/01/2016,01:38:03,29.3,39.1
26/01/2016,01:39:03,29.3,39.5
26/01/2016,01:40:04,29.1,39.5
26/01/2016,01:41:03,29.1,39.3
26/01/2016,01:42:03,29.0,39.6
26/01/2016,01:43:03,29.2,39.8
26/01/2016,01:44:03,29.1,39.8
26/01/2016,01:45:03,29.0,39.7
26/01/2016,01:46:03,29.1,39.6
26/01/2016,01:47:03,29.1,39.6
26/01/2016,01:48:03,29.1,39.6
26/01/2016,01:49:03,29.1,39.8
26/01/2016,01:50:03,29.1,39.5
26/01/2016,01:51:04,29.1,39.4
26/01/2016,01:52:03,29.3,39.2
26/01/2016,01:53:03,29.3,39.5
26/01/2016,01:54:04,29.2,39.4
26/01/2016,01:55:03,29.1,39.3
26/01/2016,01:56:03,29.0,39.7
26/01/2016,01:57:04,29.1,39.4
26/01/2016,01:58:03,29.2,39.1
26/01/2016,01:59:03,29.1,39.4
26/01/2016,02:00:03,29.3,39.1
26/01/2016,02:01:03,29.2,38.9
26/01/2016,02:02:03,29.4,39.2
26/01/2016,02:03:03,29.3,39.2
26/01/2016,02:04:03,29.4,39.6
26/01/2016,02:05:03,29.2,39.2
26/01/2016,02:06:03,29.3,39.4
26/01/2016,02:07:03,29.3,38.8
26/01/2016,02:08:04,29.3,39.1
26/01/2016,02:09:03,29.1,39.3
26/01/2016,02:10:03,29.3,39.2
26/01/2016,02:11:04,29.3,39.1
26/01/2016,02:12:03,29.3,39.0
26/01/2016,02:13:03,29.3,39.4
26/01/2016,02:14:04,29.2,39.4
26/01/2016,02:15:03,29.3,38.9
26/01/2016,02:16:03,29.3,39.1
26/01/2016,02:17:03,29.4,39.6
26/01/2016,02:18:03,29.5,39.1
26/01/2016,02:19:03,29.5,39.0
26/01/2016,02:20:03,29.4,39.1
26/01/2016,02:21:03,29.5,38.8
26/01/2016,02:22:03,29.6,38.7
26/01/2016,02:23:03,29.5,38.9
26/01/2016,02:24:03,29.5,39.0
26/01/2016,02:25:03,29.3,39.0
26/01/2016,02:26:03,29.3,38.8
26/01/2016,02:27:03,29.4,38.8
26/01/2016,02:28:04,29.2,38.8
26/01/2016,02:29:03,29.3,39.1
26/01/2016,02:30:03,29.3,39.1
26/01/2016,02:31:04,29.3,39.1
26/01/2016,02:32:03,29.3,39.4
26/01/2016,02:33:03,29.4,39.0
26/01/2016,02:34:04,29.3,39.2
26/01/2016,02:35:03,29.3,39.1
26/01/2016,02:36:03,29.1,39.5
26/01/2016,02:37:04,28.9,39.4
26/01/2016,02:38:03,29.0,39.5
26/01/2016,02:39:03,29.1,39.7
26/01/2016,02:40:03,29.0,39.8
26/01/2016,02:41:03,28.9,39.7
26/01/2016,02:42:03,29.0,39.6
26/01/2016,02:43:03,29.0,39.4
26/01/2016,02:44:03,29.0,39.5
26/01/2016,02:45:03,29.0,39.7
26/01/2016,02:46:03,29.0,39.6
26/01/2016,02:47:03,28.9,39.9
26/01/2016,02:48:04,29.0,39.6
26/01/2016,02:49:03,28.9,39.6
26/01/2016,02:50:03,28.9,39.4
26/01/2016,02:51:04,28.9,39.8
26/01/2016,02:52:03,29.2,39.5
26/01/2016,02:53:03,29.1,38.2
26/01/2016,02:54:04,29.3,39.1
26/01/2016,02:55:03,29.1,39.5
26/01/2016,02:56:03,29.2,39.3
26/01/2016,02:57:04,29.3,39.2
26/01/2016,02:58:03,29.1,39.4
26/01/2016,02:59:03,29.3,39.4
26/01/2016,03:00:04,29.1,39.0
26/01/2016,03:01:03,29.1,39.3
26/01/2016,03:02:03,29.1,39.1
26/01/2016,03:03:04,29.3,39.3
26/01/2016,03:04:03,29.5,39.4
26/01/2016,03:05:03,29.3,38.8
26/01/2016,03:06:03,29.3,38.8
26/01/2016,03:07:03,29.3,39.0
26/01/2016,03:08:03,29.3,39.3
26/01/2016,03:09:03,29.3,39.0
26/01/2016,03:10:03,29.2,39.1
